EmployeeNo,Gender,Age,MaritalStatus,Degree,Tier,Track,PrimaryCEG,SecondaryCEG,PerformanceRating,PotentialRating,PerDayRate,CostToCompany,EmployeeRatedEnvirementSatisfaction,EmployeeRatedJobInvolvement,EmployeeRatedJobSatisfaction,EmployeeratedRelationshipSatisfaction,EmployeeratedWorkLifeBalance,DateOfJoining,LastPromotionDate,CompanyTenure,RoleTenure,ElapsedPromotion,ManagerTenure,Longevity,Attrition
10000018,Male,22,Other,Software Engineering,1,Technology,,,3,0,0,0,4,4,4,2,2,22-Sep-21,22-Sep-21,1.1,1.1,0,1.1,0,0
10000110,Female,22,Single,Software Engineering,1,Technology,,,3,0,0,0,2,3,4,3,3,22-Feb-22,22-Feb-22,0.7,0.7,0,0.7,0,0
10000129,Male,22,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,3,22-Apr-20,22-Oct-21,2.5,1,2,1,0,0
10000161,Male,22,Single,Software Engineering,1,Technology,,,4,0,0,0,3,3,4,1,3,22-Sep-20,22-Oct-20,2.1,2,2,2,0,0
10000207,Male,22,Single,Software Engineering,1,Technology,,,3,0,0,0,4,4,2,1,2,22-Feb-20,22-Oct-20,2.7,2,2,2,0,0
10000318,Male,22,Single,Software Engineering,2,Technology,,,3,0,0,0,3,2,2,1,2,22-Feb-20,22-Oct-20,2.7,2,7,2,0,1
10000333,Female,22,Single,Software Engineering,2,Technology,,,3,0,0,0,4,3,3,4,2,22-Jun-20,22-Jun-20,2.4,2.4,0,2.4,0,0
10000361,Male,22,Single,Software Engineering,2,Technology,,,3,0,0,0,4,3,3,3,3,22-Aug-19,22-Oct-20,3.2,2,1,2,1,0
10000384,Female,22,Single,Software Engineering,1,Technology,,,3,0,0,0,1,3,2,4,3,22-Oct-19,22-Oct-21,3.0,1,1,1,0,0
10000393,Male,22,Single,Software Engineering,5,Technology,,,3,0,0,0,1,3,1,3,2,22-Jul-20,22-Oct-20,2.3,2,1,2,0,0
10000402,Female,22,Single,Software Engineering,4,Quality,,,3,0,0,0,3,4,1,4,2,22-Mar-20,22-Mar-20,2.6,2.6,7,2.6,0,0
10000407,Male,22,Single,Software Engineering,3,Technology,,,3,0,0,0,4,2,3,3,3,22-Mar-20,22-Mar-20,2.6,2.6,0,2.6,0,0
10000409,Female,22,Single,Software Engineering,4,Technology,,,3,0,0,0,4,3,4,4,1,22-Oct-19,22-Oct-20,3.0,2,1,2,0,0
10000425,Male,22,Single,Software Engineering,4,Quality,,,3,0,0,0,1,2,4,3,2,22-Oct-20,22-Oct-20,2.0,2,0,2,0,0
10000432,Female,22,Single,Software Engineering,2,Technology,,,3,0,0,0,3,3,3,3,3,22-Aug-21,22-Aug-21,1.2,1.2,0,1.2,0,0
10000444,Male,22,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,3,3,3,22-Feb-20,22-Oct-20,2.7,2,1,2,0,1
10000469,Male,22,Single,Software Engineering,2,Technology,,,3,0,0,0,4,3,1,2,3,22-Feb-20,22-Feb-20,2.7,2.7,6,2.7,0,0
10000499,Male,22,Single,Software Engineering,1,Technology,,,4,0,0,0,1,3,3,4,3,22-Sep-20,22-Oct-20,2.1,2,2,2,0,0
10000503,Female,22,Single,Software Engineering,2,Quality,,,4,0,0,0,4,3,1,4,4,22-Jun-20,22-Jun-20,2.4,2.4,8,2.4,0,0
10000511,Male,22,Single,Software Engineering,3,ASM,,,3,0,0,0,3,3,2,3,4,22-Jan-20,22-Jan-20,2.8,2.8,7,2.8,0,0
10000535,Male,22,Single,Software Engineering,4,Technology,,,3,0,0,0,3,4,3,3,3,22-Mar-20,22-Oct-21,2.6,1,1,1,0,0
10000553,Male,22,Single,Software Engineering,4,Technology,,,3,0,0,0,3,3,4,3,2,22-Jan-20,22-Jan-20,2.8,2.8,1,2.8,0,0
10000557,Male,22,Single,Software Engineering,2,Technology,,,3,0,0,0,4,3,4,4,3,22-Jul-20,22-Oct-20,2.3,2,2,2,0,0
10000562,Male,22,Single,Software Engineering,4,Quality,,,3,0,0,0,3,2,1,1,4,22-Apr-20,22-Apr-20,2.5,2.5,1,2.5,0,0
10000571,Male,22,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,1,3,22-Feb-21,22-Feb-21,1.7,1.7,1,1.7,0,0
10000576,Female,22,Single,Software Engineering,2,Technology,,,3,0,0,0,4,3,1,2,3,22-Jul-21,22-Jul-21,1.3,1.3,1,1.3,0,0
10000588,Female,22,Single,Software Engineering,2,Technology,,,4,0,0,0,4,3,3,2,3,22-Apr-21,22-Apr-21,1.5,1.5,1,1.5,0,0
10000631,Male,22,Single,Software Engineering,2,Technology,,,4,0,0,0,4,2,4,1,1,22-Feb-20,22-Oct-20,2.7,2,2,2,0,0
10000667,Female,22,Single,Software Engineering,2,Technology,,,3,0,0,0,2,3,3,1,4,22-Apr-20,22-Oct-20,2.5,2,0,2,0,1
10000735,Male,22,Single,Software Engineering,1,Technology,,,3,0,0,0,2,1,1,1,2,22-Feb-20,22-Feb-20,2.7,2.7,1,2.7,0,0
10000861,Male,22,Single,Software Engineering,1,Technology,,,3,0,0,0,3,2,4,2,3,22-Sep-22,22-Sep-22,0.1,0.1,0,0.1,0,1
10001138,Female,22,Single,Software Engineering,1,Technology,,,3,0,0,0,2,2,3,2,2,22-Apr-20,22-Oct-20,2.5,2,1,2,0,0
10001274,Female,22,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,1,3,3,22-Jan-21,22-Jan-21,1.8,1.8,0,1.8,0,1
10001340,Male,22,Single,Software Engineering,1,Technology,,,4,0,0,0,4,3,2,1,3,22-Feb-21,22-Feb-21,1.7,1.7,0,1.7,0,1
10001424,Male,22,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,3,4,4,22-Feb-19,22-Oct-20,3.7,2,1,2,1,0
10000087,Male,23,Other,Technical Degree,1,Quality,,,3,0,0,0,3,3,1,3,3,22-Aug-22,22-Aug-22,0.2,0.2,0,0.2,0,0
10000346,Male,23,Other,Software Engineering,1,Technology,,,3,0,0,0,3,3,4,3,2,22-Dec-17,22-Oct-20,4.9,2,0,2,1,0
10000517,Male,23,Married,Software Engineering,1,Technology,,,3,0,0,0,1,4,1,1,4,22-Sep-19,22-Oct-20,3.1,2,0,2,1,0
10000551,Male,23,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,1,4,4,22-Oct-17,22-Oct-19,5.0,3,0,3,1,0
10000566,Male,23,Single,Software Engineering,1,Technology,,,3,0,0,0,1,4,3,4,3,22-Jan-20,22-Oct-20,2.8,2,0,2,0,0
10000586,Male,23,Married,Software Engineering,1,Technology,,,4,0,0,0,3,4,1,3,3,22-Aug-22,22-Aug-22,0.2,0.2,0,0.2,0,1
10000911,Male,23,Married,Software Engineering,1,Technology,,,4,0,0,0,4,3,3,4,3,22-Oct-20,22-Oct-20,2.0,2,0,2,0,0
10001083,Male,23,Single,Software Engineering,2,Technology,,,3,0,0,0,1,3,3,2,3,22-Feb-18,22-Oct-19,4.7,3,1,3,1,0
10001128,Male,23,Married,Technical Degree,1,Technology,,,3,0,0,0,4,4,3,4,3,22-Aug-20,22-Oct-20,2.2,2,2,2,0,0
10001202,Male,23,Single,Software Engineering,1,Technology,,,3,0,0,0,4,2,3,1,3,22-Oct-16,22-Oct-18,6.0,4,1,4,1,1
10001214,Male,23,Other,Software Engineering,1,Quality,,,4,0,0,0,3,3,4,2,3,22-Jan-19,22-Oct-20,3.8,2,0,2,1,1
10001239,Female,23,Single,Software Engineering,1,Technology,,,3,0,0,0,3,3,2,3,1,22-Mar-19,22-Oct-20,3.6,2,1,2,1,0
10001409,Male,23,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,3,4,22-Apr-17,22-Oct-20,5.5,2,1,2,1,0
10001439,Male,23,Married,Software Engineering,1,Quality,,,3,0,0,0,4,3,1,1,2,22-Sep-21,22-Sep-21,1.1,1.1,1,1.1,0,1
10000021,Female,24,Other,Other,2,Technology,,,3,0,0,0,1,4,3,4,2,22-Sep-18,22-Oct-20,4.1,2,1,2,1,0
10000035,Male,24,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,4,1,2,22-Jan-20,22-Jan-20,2.8,2.8,2,2.8,0,1
10000097,Female,24,Married,Other,2,Quality,,,4,0,0,0,1,3,3,1,2,22-Jan-19,22-Oct-20,3.8,2,0,2,1,0
10000114,Male,24,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,3,3,3,22-Oct-16,22-Oct-19,6.0,3,1,3,1,0
10000381,Female,24,Other,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,4,4,22-Jun-17,22-Oct-20,5.4,2,0,2,1,0
10000415,Female,24,Single,Software Engineering,1,Quality,,,3,0,0,0,1,3,2,2,3,22-Apr-17,22-Oct-19,5.5,3,1,3,1,1
10000471,Male,24,Married,Software Engineering,1,Quality,,,3,0,0,0,4,3,4,3,3,22-Jan-20,22-Oct-20,2.8,2,2,2,0,0
10000475,Male,24,Married,Software Engineering,1,Technology,,,3,0,0,0,2,4,4,2,3,22-Jun-16,22-Oct-17,6.4,5,1,5,1,0
10000477,Male,24,Married,Other,1,Technology,,,4,0,0,0,4,2,2,4,3,22-Oct-20,22-Oct-20,2.0,2,0,2,0,0
10000480,Female,24,Married,Software Engineering,1,Technology,,,3,0,0,0,1,3,3,4,3,22-Dec-15,22-Oct-19,6.9,3,1,3,1,1
10000526,Female,24,Single,Software Engineering,2,Quality,,,3,0,0,0,1,3,3,1,3,22-Sep-20,22-Oct-20,2.1,2,2,2,0,1
10000587,Male,24,Other,Software Engineering,1,Technology,,,3,0,0,0,3,2,2,3,3,22-Jun-21,22-Jun-21,1.4,1.4,0,1.4,0,0
10000641,Male,24,Married,Software Engineering,1,Technology,,,3,0,0,0,1,2,4,4,2,22-Jan-17,22-Oct-20,5.8,2,3,2,1,0
10000725,Female,24,Other,Software Engineering,2,Technology,,,3,0,0,0,4,2,3,2,3,22-Sep-18,22-Oct-20,4.1,2,3,2,1,0
10000842,Male,24,Single,Software Engineering,1,Technology,,,4,0,0,0,4,3,2,4,3,22-Jun-18,22-Oct-19,4.4,3,1,3,1,0
10000872,Female,24,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,1,1,22-Jun-21,22-Jun-21,1.4,1.4,0,1.4,0,1
10001026,Female,24,Married,Software Engineering,2,Quality,,,3,0,0,0,4,3,3,3,3,22-Feb-17,22-Oct-18,5.7,4,0,4,1,0
10001061,Male,24,Single,Software Engineering,1,Technology,,,3,0,0,0,2,3,1,3,2,22-Mar-22,22-Mar-22,0.6,0.6,0,0.6,0,1
10001062,Female,24,Married,Software Engineering,1,Quality,,,3,0,0,0,4,3,2,3,3,22-Jul-21,22-Jul-21,1.3,1.3,0,1.3,0,0
10001098,Male,24,Other,Technical Degree,1,Technology,,,3,0,0,0,3,2,1,2,3,22-Oct-20,22-Oct-21,2.0,1,0,1,0,0
10001169,Female,24,Single,Technical Degree,1,Technology,,,3,0,0,0,1,3,4,3,3,22-Oct-15,22-Oct-19,7.0,3,1,3,1,0
10001218,Male,24,Married,Software Engineering,1,Technology,,,3,0,0,0,3,4,3,4,3,22-Jul-17,22-Oct-19,5.3,3,0,3,1,0
10001223,Male,24,Married,Software Engineering,1,ASM,,,3,0,0,0,4,1,3,3,3,22-Mar-21,22-Mar-21,1.6,1.6,0,1.6,0,1
10001231,Male,24,Other,Software Engineering,1,Technology,,,3,0,0,0,2,3,1,2,4,22-Oct-15,22-Oct-20,7.0,2,1,2,1,0
10001246,Male,24,Married,Software Engineering,1,ASM,,,3,0,0,0,1,3,4,4,3,22-Oct-19,22-Oct-20,3.0,2,2,2,0,0
10001408,Male,24,Single,Software Engineering,2,Technology,,,3,0,0,0,2,2,3,2,2,22-Aug-18,22-Oct-19,4.2,3,1,3,1,0
10000108,Male,25,Single,Software Engineering,2,Quality,,,3,0,0,0,3,2,3,4,3,22-Aug-16,22-Oct-18,6.2,4,0,4,1,1
10000109,Male,25,Married,Software Engineering,1,Technology,,,3,0,0,0,4,2,4,3,3,22-Jun-20,22-Oct-20,2.4,2,2,2,0,0
10000139,Male,25,Married,Software Engineering,2,Quality,,,3,0,0,0,1,2,3,4,3,22-Dec-19,22-Oct-20,2.9,2,2,2,0,0
10000256,Female,25,Married,Software Engineering,2,Technology,,,3,0,0,0,1,3,3,4,3,22-Mar-18,22-Oct-20,4.6,2,1,2,1,0
10000268,Male,25,Other,Software Engineering,2,Technology,,,3,0,0,0,2,4,1,4,3,22-Aug-16,22-Oct-19,6.2,3,1,3,1,0
10000398,Female,25,Single,Software Engineering,2,Quality,,,3,0,0,0,2,2,4,2,3,22-Sep-17,22-Oct-18,5.1,4,1,4,1,0
10000406,Male,25,Married,Software Engineering,1,Technology,,,3,0,0,0,1,3,1,3,3,22-Jun-20,22-Oct-20,2.4,2,0,2,0,1
10000479,Male,25,Married,Software Engineering,1,Quality,,,3,0,0,0,2,3,3,3,3,22-Aug-15,22-Oct-18,7.2,4,0,4,1,0
10000518,Male,25,Married,Software Engineering,2,Quality,,,4,0,0,0,4,4,2,3,3,22-Sep-19,22-Oct-20,3.1,2,1,2,1,0
10000564,Female,25,Single,Software Engineering,2,Quality,,,4,0,0,0,3,3,4,2,2,22-Dec-15,22-Oct-17,6.9,5,1,5,1,0
10000619,Male,25,Single,Software Engineering,1,Technology,,,3,0,0,0,1,4,1,3,2,22-Mar-18,22-Oct-19,4.6,3,0,3,1,0
10000635,Male,25,Married,Other,2,Quality,,,3,0,0,0,3,3,1,4,3,22-Jun-17,22-Oct-19,5.4,3,0,3,1,0
10000639,Male,25,Married,Software Engineering,2,Quality,,,3,0,0,0,3,2,1,1,4,22-Jan-17,22-Oct-20,5.8,2,0,2,1,0
10000684,Male,25,Married,Software Engineering,1,Quality,,,3,0,0,0,3,2,2,3,3,22-Feb-21,22-Feb-21,1.7,1.7,0,1.7,0,1
10000797,Male,25,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,2,4,22-Oct-14,22-Oct-15,8.0,7,5,7,1,1
10000886,Male,25,Single,Software Engineering,2,Quality,,,3,0,0,0,3,3,4,2,3,22-Mar-18,22-Oct-19,4.6,3,1,3,1,0
10000912,Male,25,Single,Software Engineering,1,Quality,,,3,0,0,0,3,1,4,4,3,22-Jun-21,22-Jun-21,1.4,1.4,1,1.4,0,1
10000935,Female,25,Single,Software Engineering,1,Technology,,,3,0,0,0,4,3,2,4,2,22-Jan-20,22-Oct-20,2.8,2,2,2,0,0
10000966,Male,25,Married,Software Engineering,1,Technology,,,3,0,0,0,4,3,4,3,2,22-Apr-19,22-Oct-20,3.5,2,1,2,1,0
10000994,Male,25,Married,Software Engineering,2,Quality,,,3,0,0,0,1,4,3,2,2,22-Sep-19,22-Oct-20,3.1,2,1,2,1,0
10001004,Male,25,Married,Technical Degree,1,Technology,,,3,0,0,0,1,3,4,2,2,22-Sep-19,22-Oct-20,3.1,2,0,2,1,0
10001022,Male,25,Married,Software Engineering,1,Quality,,,3,0,0,0,1,2,1,1,3,22-Dec-18,22-Oct-20,3.9,2,2,2,1,1
10001175,Male,25,Other,Software Engineering,2,Technology,,,3,0,0,0,4,4,3,3,3,22-Sep-15,22-Oct-15,7.1,7,0,7,1,0
10001412,Female,25,Married,Software Engineering,1,ASM,,,3,0,0,0,3,3,2,3,3,22-Jan-20,22-Jan-20,2.8,2.8,1,2.8,0,0
10001414,Male,25,Other,Other,1,Technology,,,3,0,0,0,4,3,3,3,2,22-Aug-20,22-Oct-20,2.2,2,0,2,0,0
10001434,Female,25,Other,Other,2,Quality,,,4,0,0,0,1,3,3,2,2,22-Sep-17,22-Oct-19,5.1,3,0,3,1,0
10000007,Female,26,Married,Software Engineering,1,Technology,,,4,0,0,0,3,4,1,1,2,22-Mar-21,22-Mar-21,1.6,1.6,0,1.6,0,0
10000019,Female,26,Married,Software Engineering,4,Quality,,,3,0,0,0,1,2,4,3,3,22-Jul-97,22-Oct-14,25.3,8,3,8,1,0
10000026,Female,26,Other,Other,5,Technology,,,3,0,0,0,3,3,3,4,2,22-Jul-08,22-Oct-09,14.3,13,4,13,1,0
10000043,Male,26,Single,Software Engineering,1,Technology,,,3,0,0,0,1,1,3,3,2,22-Apr-21,22-Apr-21,1.5,1.5,0,1.5,0,1
10000055,Female,26,Married,Software Engineering,2,Quality,,,3,0,0,0,3,2,4,3,2,22-Sep-20,22-Oct-20,2.1,2,0,2,0,0
10000064,Female,26,Single,Software Engineering,3,Quality,,,3,0,0,0,1,3,1,4,2,22-Mar-01,22-Oct-06,21.6,16,7,16,1,0
10000071,Female,26,Single,Software Engineering,2,Quality,,,3,0,0,0,1,2,3,4,2,22-Jan-18,22-Oct-19,4.8,3,1,3,1,0
10000086,Male,26,Single,Software Engineering,3,Technology,,,3,0,0,0,4,1,4,1,2,22-Jul-16,22-Oct-18,6.3,4,0,4,1,0
10000096,Female,26,Married,Technical Degree,3,Technology,,,3,0,0,0,1,3,3,1,1,22-Jun-18,22-Oct-19,4.4,3,0,3,1,0
10000099,Male,26,Single,Software Engineering,4,Quality,,,3,0,0,0,4,3,3,3,2,22-Jul-85,22-Oct-12,37.3,10,1,10,1,0
10000106,Female,26,Married,Software Engineering,5,ASM,,,4,0,0,0,3,2,4,4,3,22-Jan-19,22-Oct-20,3.8,2,2,2,1,0
10000113,Female,26,Single,Software Engineering,4,ASM,,,3,0,0,0,4,4,4,3,3,22-Jan-17,22-Oct-19,5.8,3,4,3,1,0
10000123,Female,26,Married,Software Engineering,1,Technology,,,3,0,0,0,2,3,2,1,3,22-Dec-16,22-Oct-18,5.9,4,4,4,1,1
10000126,Female,26,Married,Other,1,Technology,,,3,0,0,0,3,2,2,3,2,22-Jul-17,22-Oct-18,5.3,4,4,4,1,0
10000135,Female,26,Married,Software Engineering,1,ASM,,,4,0,0,0,3,3,3,4,3,22-Dec-13,22-Oct-15,8.9,7,5,7,1,0
10000279,Female,26,Other,Software Engineering,2,Technology,,,4,0,0,0,3,3,2,1,1,22-Jan-16,22-Oct-17,6.8,5,1,5,1,0
10000285,Male,26,Married,Software Engineering,2,Technology,,,3,0,0,0,1,3,1,3,3,22-Feb-17,22-Oct-19,5.7,3,3,3,1,0
10000289,Male,26,Other,Software Engineering,1,Technology,,,3,0,0,0,1,3,2,4,3,22-Mar-19,22-Oct-20,3.6,2,0,2,1,1
10000294,Male,26,Single,Software Engineering,2,Quality,,,3,0,0,0,4,2,4,2,3,22-Mar-14,22-Oct-15,8.6,7,7,7,1,1
10000356,Male,26,Married,Software Engineering,2,Quality,,,3,0,0,0,3,3,3,2,3,22-Aug-14,22-Oct-15,8.2,7,7,7,1,0
10000383,Male,26,Single,Software Engineering,1,Technology,,,4,0,0,0,3,3,1,3,3,22-Jun-16,22-Oct-18,6.4,4,0,4,1,1
